Which age group do you belong to? (in years),Gender,How often do you currently use bike trails in the county? (During summer & Fall),What is your average cycling duration per trip? (in hours),What is your preferred trail length for a typical ride?,"How important is it for bike trails to connect to other trails or local destinations (e.g., parks, shopping areas)?"
25-34,1,3,Less than 1 hour,5 - 10 miles,2
45-54,1,3,1 - 2 hours,10 - 20 miles,0
65-80,1,2,1 - 2 hours,10 - 20 miles,2
45-54,0,4,3 - 4 hours,5 - 10 miles,1
55-64,0,3,3 - 4 hours,More than 20 miles,2
65-80,1,4,1 - 2 hours,More than 20 miles,2
45-54,0,4,Less than 1 hour,Less than 5 miles,2
55-64,1,4,1 - 2 hours,10 - 20 miles,-2
45-54,1,4,Less than 1 hour,Less than 5 miles,2
65-80,1,3,1 - 2 hours,More than 20 miles,0
65-80,1,3,Less than 1 hour,Less than 5 miles,2
35-44,0,2,1 - 2 hours,5 - 10 miles,2
55-64,1,3,3 - 4 hours,More than 20 miles,2
55-64,0,4,Less than 1 hour,Less than 5 miles,2
45-54,0,3,1 - 2 hours,More than 20 miles,2
25-34,1,4,Less than 1 hour,5 - 10 miles,2
45-54,0,3,3 - 4 hours,More than 20 miles,2
65-80,0,2,3 - 4 hours,More than 20 miles,1
45-54,0,2,3 - 4 hours,More than 20 miles,2
45-54,0,4,Less than 1 hour,5 - 10 miles,2
55-64,0,3,1 - 2 hours,10 - 20 miles,1
45-54,0,4,1 - 2 hours,10 - 20 miles,1
55-64,1,2,1 - 2 hours,10 - 20 miles,2
35-44,1,2,1 - 2 hours,10 - 20 miles,2
35-44,1,4,1 - 2 hours,More than 20 miles,2
55-64,0,3,1 - 2 hours,10 - 20 miles,2
65-80,1,3,1 - 2 hours,More than 20 miles,2
35-44,0,3,1 - 2 hours,5 - 10 miles,1
65-80,1,3,1 - 2 hours,10 - 20 miles,2
25-34,1,3,1 - 2 hours,10 - 20 miles,2
55-64,0,1,1 - 2 hours,10 - 20 miles,2
45-54,1,2,1 - 2 hours,10 - 20 miles,2
45-54,1,3,Less than 1 hour,10 - 20 miles,2
35-44,1,3,1 - 2 hours,More than 20 miles,2
55-64,0,3,1 - 2 hours,10 - 20 miles,1
35-44,0,3,3 - 4 hours,More than 20 miles,2
25-34,0,3,1 - 2 hours,10 - 20 miles,1
45-54,1,2,1 - 2 hours,More than 20 miles,0
65-80,1,4,1 - 2 hours,5 - 10 miles,1
65-80,1,3,1 - 2 hours,More than 20 miles,1
45-54,0,3,Less than 1 hour,Less than 5 miles,2
45-54,1,4,1 - 2 hours,More than 20 miles,2
45-54,1,3,1 - 2 hours,10 - 20 miles,2
25-34,0,3,3 - 4 hours,More than 20 miles,2
18-24,0,3,3 - 4 hours,10 - 20 miles,2
65-80,0,4,1 - 2 hours,More than 20 miles,0
55-64,1,1,3 - 4 hours,10 - 20 miles,2
35-44,1,4,Less than 1 hour,5 - 10 miles,2
65-80,0,3,1 - 2 hours,More than 20 miles,1
65-80,1,3,3 - 4 hours,More than 20 miles,2
65-80,0,3,1 - 2 hours,More than 20 miles,2
45-54,0,2,1 - 2 hours,10 - 20 miles,2
55-64,2,4,1 - 2 hours,10 - 20 miles,1
55-64,0,4,Less than 1 hour,More than 20 miles,2
25-34,0,4,1 - 2 hours,More than 20 miles,2
45-54,1,3,Less than 1 hour,10 - 20 miles,2
65-80,0,2,1 - 2 hours,5 - 10 miles,1
45-54,1,2,3 - 4 hours,More than 20 miles,2
55-64,0,3,1 - 2 hours,10 - 20 miles,2
55-64,1,2,1 - 2 hours,10 - 20 miles,2
45-54,0,3,Less than 1 hour,5 - 10 miles,2
25-34,0,4,Less than 1 hour,Less than 5 miles,2
55-64,0,3,1 - 2 hours,More than 20 miles,2
55-64,1,2,1 - 2 hours,More than 20 miles,2
35-44,1,2,1 - 2 hours,10 - 20 miles,2
55-64,0,3,1 - 2 hours,Less than 5 miles,1
55-64,1,4,1 - 2 hours,5 - 10 miles,1
55-64,1,4,1 - 2 hours,10 - 20 miles,2
45-54,1,3,Less than 1 hour,5 - 10 miles,2
35-44,0,4,Less than 1 hour,5 - 10 miles,2
45-54,0,3,1 - 2 hours,10 - 20 miles,2
55-64,1,3,1 - 2 hours,10 - 20 miles,2
35-44,0,3,1 - 2 hours,10 - 20 miles,2
35-44,1,4,Less than 1 hour,Less than 5 miles,2
35-44,0,4,Less than 1 hour,More than 20 miles,2
65-80,0,2,1 - 2 hours,10 - 20 miles,2
55-64,1,3,1 - 2 hours,10 - 20 miles,2
35-44,0,4,Less than 1 hour,5 - 10 miles,2
65-80,0,3,3 - 4 hours,More than 20 miles,1
35-44,1,2,Less than 1 hour,5 - 10 miles,0
45-54,1,2,1 - 2 hours,More than 20 miles,1
65-80,1,3,1 - 2 hours,Less than 5 miles,2
45-54,1,2,1 - 2 hours,10 - 20 miles,1
45-54,0,3,1 - 2 hours,10 - 20 miles,2
65-80,1,3,3 - 4 hours,More than 20 miles,2
55-64,1,3,1 - 2 hours,More than 20 miles,2
25-34,0,4,Less than 1 hour,More than 20 miles,2
18-24,0,4,1 - 2 hours,5 - 10 miles,2
35-44,1,3,Less than 1 hour,5 - 10 miles,2
25-34,0,4,Less than 1 hour,5 - 10 miles,1
25-34,1,3,Less than 1 hour,5 - 10 miles,2
45-54,0,4,Less than 1 hour,10 - 20 miles,2
55-64,1,4,1 - 2 hours,10 - 20 miles,2
65-80,1,2,3 - 4 hours,10 - 20 miles,2
35-44,0,3,1 - 2 hours,More than 20 miles,2
55-64,1,2,1 - 2 hours,More than 20 miles,2
65-80,1,2,1 - 2 hours,10 - 20 miles,2
45-54,1,2,3 - 4 hours,10 - 20 miles,2
45-54,1,4,Less than 1 hour,More than 20 miles,2
45-54,1,4,Less than 1 hour,5 - 10 miles,2
25-34,1,2,1 - 2 hours,5 - 10 miles,2
45-54,Female,Few times a week,1 - 2 hours,10 - 20 miles,Very important
65-80,Female,Few times a week,Less than 1 hour,Less than 5 miles,Very important
45-54,Male,Few times a week,Less than 1 hour,Less than 5 miles,Very important
35-44,Female,Daily,1 - 2 hours,More than 20 miles,Very important
55-64,Female,Daily,Less than 1 hour,5 - 10 miles,Very important
35-44,Female,Few times a week,1 - 2 hours,10 - 20 miles,Somewhat important